Name,Old price,New price,Save,Link
DJI Mini 3 bản có màn hình (DJI RC),"16,990,000 đ","15,490,000 đ",8 %,https://flycamvn.com/dji-mini-3-dji-rc/
DJI Mini 2 SE Flymore Combo,"11,990,000 đ","11,390,000 đ",5 %,https://flycamvn.com/dji-mini-2-se-flymore-combo/
DJI MINI 2 SE,"9,500,000 đ","8,990,000 đ",5 %,https://flycamvn.com/dji-mini-2-se/
DJI Mini 3 Fly More Combo Plus,"18,900,000 đ","17,480,000 đ",7 %,https://flycamvn.com/dji-mini-3-fly-more-combo-plus/
DJI Mavic 3 Classic DJI RC-N1 (không màn hình),"36,500,000 đ","34,990,000 đ",4 %,https://flycamvn.com/dji-mavic-3-classic-dji-rc-n1/
DJI MINI 3,"12,900,000 đ","11,990,000 đ",7 %,https://flycamvn.com/dji-mini-3/
DJI Mavic 3 Classic ( bản DJI RC có màn hình),"43,000,000 đ","38,990,000 đ",9 %,https://flycamvn.com/dji-mavic-3-classic/
Combo DJI Mavic Mini SE,"10,900,000 đ","9,990,000 đ",8 %,https://flycamvn.com/combo-dji-mavic-mini-se/
Combo DJI Mavic Mini 2 ( Chính hãng VN),"14,990,000 đ","13,900,000 đ",7 %,https://flycamvn.com/combo-dji-mavic-mini-2/
Flycam DJI Mavic Mini SE,"7,990,000 đ","7,790,000 đ",2 %,https://flycamvn.com/flycam-dji-mavic-mini-se/
DJI Mini 3 Pro Fly More Kit Plus,"6,000,000 đ","5,500,000 đ",8 %,https://flycamvn.com/dji-mini-3-pro-fly-more-kit-plus/
DJI Mini 3 Pro Smart Controller ( DJI RC),"22,590,000 đ","21,290,000 đ",5 %,https://flycamvn.com/dji-mini-3-pro-smart-controller/
DJI Mini 3 Pro,"19,000,000 đ","17,590,000 đ",7 %,https://flycamvn.com/dji-mini-3-pro/
DJI Mavic 3 Fly More Combo,"65,000,000 đ","59,990,000 đ",7 %,https://flycamvn.com/dji-mavic-3-fly-more-combo/
DJI Mavic 3 Pro,"65,000,000 đ","46,300,000 đ",28 %,https://flycamvn.com/dji-mavic-3-pro/
DJI Mavic Air 2S,"26,000,000 đ","24,490,000 đ",5 %,https://flycamvn.com/dji-mavic-air-2s/
DJI Mavic Air 2S Fly more Combo,"32,990,000 đ","31,290,000 đ",5 %,https://flycamvn.com/dji-mavic-air-2s-fly-more-combo/
DJI Mavic Mini 2 ( Chính hãng VN),"11,990,000 đ","10,890,000 đ",9 %,https://flycamvn.com/dji-mavic-mini-2/
Combo Mavic Air 2 ( Chính hãng VN),"24,700,000 đ","22,790,000 đ",7 %,https://flycamvn.com/combo-mavic-air-2/
DJI Mavic Air 2 ( Chính hãng VN),"18,990,000 đ","17,990,000 đ",5 %,https://flycamvn.com/dji-mavic-air-2/
DJI Mavic Mini Flymore Combo SS5 4km ( Chính hãng VN),"13,500,000 đ","9,990,000 đ",26 %,https://flycamvn.com/dji-mavic-mini-flymore-combo/
DJI Mavic Mini SS5 4km ( chính hãng VN),"10,500,000 đ","9,000,000 đ",14 %,https://flycamvn.com/dji-mavic-mini/
Mavic 2 Pro ( Chính hãng VN),"34,900,000 đ","32,900,000 đ",5 %,https://flycamvn.com/mavic-2-pro/
Mavic 2 Zoom ( Chính hãng VN),"28,500,000 đ","26,900,000 đ",5 %,https://flycamvn.com/mavic-2-zoom/
Combo kit Mavic 2,"8,500,000 đ","7,500,000 đ",11 %,https://flycamvn.com/combo-kit-mavic-2/
Mavic 2 Pro DJI Smart Controller ( Mavic 2 Pro Plus),"45,000,000 đ","42,900,000 đ",4 %,https://flycamvn.com/mavic-2-pro-dji-smart-controller/
Mavic 2 Zoom DJI Smart Controller ( Mavic 2 Zoom Plus),"37,000,000 đ","36,490,000 đ",1 %,https://flycamvn.com/mavic-2-zoom-dji-smart-controller/
Combo Mavic Pro Platinum,"26,000,000 đ","25,900,000 đ",0 %,https://flycamvn.com/combo-mavic-pro-platinum/
Combo Mavic Air,"23,000,000 đ","19,900,000 đ",13 %,https://flycamvn.com/combo-mavic-air/
Mavic Pro Platinum,"27,000,000 đ","23,500,000 đ",12 %,https://flycamvn.com/mavic-pro-platinum/
Mavic Air,"18,000,000 đ","16,690,000 đ",7 %,https://flycamvn.com/mavic-air/
Combo Mavic Pro,"30,500,000 đ","24,900,000 đ",18 %,https://flycamvn.com/combo-mavic-pro/
Mavic Pro,"225,000,000 đ","21,900,000 đ",90 %,https://flycamvn.com/mavic-pro/
